,Gender,Customer Type,Age,Price,NewUsed,Category,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Satisfaction
38,Male,Not Premium,31.699850778085697,72.36,New,Technology,4,2,4,5,1,1,2,2,2,1,1,0
39,Male,Premium,26.0,169.03,New,Technology,5,1,2,3,5,5,3,5,2,0,0,0
40,Female,Premium,49.0,25.9,New,Entertainment,4,4,4,5,5,5,5,5,3,0,0,1
41,Male,Not Premium,29.0,128.03,New,Entertainment,2,1,4,4,5,5,3,5,4,0,0,0
42,Female,Not Premium,22.0,46.74,New,Entertainment,1,3,4,3,1,2,3,3,4,0,0,0
43,Female,Premium,60.0,177.74,New,Technology,1,1,2,4,4,4,3,4,4,0,0,1
44,Female,Premium,37.0,260.89,New,Technology,3,3,3,5,5,5,5,5,3,0,0,1
45,Female,Premium,22.0,8.14,New,Home/Kitchen,4,1,4,3,5,4,5,5,4,0,0,0
46,Male,Premium,41.0,57.69,New,Entertainment,3,3,3,4,4,4,4,4,5,1,1,1
47,Male,Premium,57.0,208.06,New,Entertainment,4,4,2,4,4,4,2,4,3,0,0,1
48,Female,Premium,60.0,147.16,New,Home/Kitchen,4,4,5,5,5,5,3,5,5,0,0,1
49,Female,Premium,59.0,7.65,New,Entertainment,3,3,1,2,2,4,3,4,1,0,0,0
50,Male,Premium,35.0,337.07,New,Technology,4,4,3,4,4,4,4,4,3,0,0,1
51,Male,Premium,49.0,155.25,New,Entertainment,3,4,2,1,4,1,2,1,2,0,0,0
52,Female,Premium,58.0,260.3,New,Home/Kitchen,1,1,4,5,5,5,5,5,3,0,0,1
53,Female,Premium,51.0,23.64,New,Technology,1,1,5,1,1,3,1,2,5,0,0,1
54,Female,Premium,27.0,341.73,New,Technology,4,3,2,1,1,2,1,3,2,0,0,1
55,Male,Premium,37.0,32.8,New,Other,5,5,1,3,3,2,2,3,1,0,0,0
56,Male,Premium,24.0,168.48,New,Technology,3,3,2,3,1,4,2,4,2,0,0,0
57,Male,Premium,39.0,357.21,New,Other,5,5,5,5,5,5,5,5,4,0,0,1
58,Male,Premium,49.0,129.72,New,Technology,3,3,3,5,5,5,5,5,2,0,0,1
59,Female,Premium,57.0,407.81,New,Home/Kitchen,1,1,5,5,4,5,3,5,5,0,0,1
60,Female,Premium,52.0,16.2,New,Technology,5,1,2,5,5,5,3,4,2,0,0,0
61,Female,Premium,33.0,116.91,New,Entertainment,1,1,5,4,4,3,3,4,5,0,0,0
62,Female,Not Premium,24.0,57.78,New,Home/Kitchen,5,4,2,3,4,5,4,2,2,0,0,1
63,Female,Premium,43.9097214811653,57.78,Used,Entertainment,4,4,5,3,4,4,3,4,5,0,0,0
64,Female,Premium,41.0,252.16,New,Entertainment,3,3,5,4,4,4,3,4,5,0,0,1
65,Female,Premium,70.0,35.12,New,Home/Kitchen,3,3,3,4,4,4,5,4,3,0,0,1
66,Male,Premium,20.0,7.73,New,Other,5,4,5,5,2,5,4,4,5,0,0,0
67,Male,Premium,50.0,134.56,New,Sport,2,2,2,4,4,4,1,4,1,0,0,1
68,Female,Premium,28.0,359.52,New,Entertainment,3,3,4,2,2,2,4,1,4,2,2,1
69,Male,Not Premium,35.0,70.43,New,Entertainment,3,3,1,3,2,3,5,4,1,0,0,0
70,Female,Not Premium,45.0,119.35,New,Home/Kitchen,3,2,4,3,2,2,3,2,4,0,0,0
71,Female,Premium,36.0,86.41,New,Technology,4,1,3,5,5,5,4,5,3,0,0,0
72,Male,Premium,51.0,121.27,New,Technology,5,5,5,2,2,2,4,2,4,0,0,1
73,Female,Premium,67.0,72.1,New,Entertainment,3,2,3,3,2,3,3,3,4,0,0,0
74,Female,Premium,58.0,148.23,New,Technology,5,5,5,4,4,4,4,4,4,0,0,1
75,Male,Not Premium,31.699850778085697,36.82,New,Entertainment,4,3,3,1,2,4,4,3,3,0,0,0
76,Male,Premium,45.0,407.22,New,Technology,4,4,3,2,2,2,4,2,3,0,0,0
77,Male,Premium,38.0,212.09,New,Entertainment,1,1,4,4,2,3,5,1,4,0,0,1
78,Female,Not Premium,21.0,38.56,New,Technology,4,4,4,3,3,3,2,1,4,0,0,0
79,Female,Premium,31.0,171.38,New,Technology,1,1,4,5,3,4,4,4,4,0,0,1
80,Female,Not Premium,27.0,125.05,New,Home/Kitchen,1,2,2,5,5,4,3,5,2,0,0,0
81,Female,Premium,35.0,207.16,New,Technology,1,1,4,4,4,4,2,4,4,0,0,1
82,Female,Premium,44.0,368.46,New,Technology,5,5,4,3,5,5,4,5,4,1,1,1
83,Female,Not Premium,43.0,69.98,New,Entertainment,4,1,2,2,2,5,1,5,2,0,0,0
84,Female,Premium,35.0,351.03,New,Technology,4,4,3,2,3,2,3,2,1,0,0,0
85,Male,Premium,56.0,143.8,New,Sport,2,2,2,3,2,3,4,3,4,0,0,0
86,Female,Premium,46.0,330.92,Used,Entertainment,5,1,5,1,1,1,1,1,1,0,0,0
87,Female,Premium,31.0,89.66,New,Other,5,4,5,2,3,4,2,1,5,0,0,0
88,Male,Not Premium,31.699850778085697,106.92,New,Entertainment,2,4,5,2,5,3,3,3,5,0,0,0
89,Male,Premium,39.0,241.73,New,Entertainment,4,2,5,4,5,4,4,5,5,0,0,0
90,Female,Premium,43.9097214811653,49.59,New,Entertainment,0,4,3,3,5,4,4,4,3,0,0,0
91,Female,Premium,59.0,359.09,New,Home/Kitchen,4,4,3,5,5,5,3,5,4,1,1,1
92,Male,Premium,44.0,86.22,New,Technology,3,3,2,1,4,3,2,3,2,3,3,0
93,Male,Premium,26.0,122.81,New,Technology,5,1,1,3,2,4,5,5,1,0,0,0
94,Male,Premium,58.0,403.75,New,Technology,5,5,2,4,4,4,4,4,3,0,0,1
95,Male,Premium,26.0,35.17,New,Sport,5,1,4,5,2,4,5,5,4,0,0,0
96,Male,Premium,69.0,158.38,New,Sport,2,2,3,4,4,4,1,4,4,0,0,0
97,Male,Premium,63.0,50.14,New,Home/Kitchen,3,3,3,1,2,1,4,1,2,0,0,0
98,Male,Premium,49.0,261.72,New,Sport,4,4,3,4,4,4,5,4,5,0,0,1
99,Male,Premium,60.0,218.39,New,Home/Kitchen,2,2,5,4,4,4,3,4,4,0,0,1
100,Female,Premium,28.0,260.6,New,Entertainment,4,4,4,4,5,4,1,3,4,0,0,0
101,Female,Premium,58.0,95.28,New,Entertainment,4,4,2,4,4,4,5,4,4,0,0,1
102,Male,Premium,31.0,10.78,New,Entertainment,4,1,3,4,4,2,1,4,3,0,0,0
103,Male,Premium,43.923419078242226,39.85,New,Technology,2,2,4,3,2,5,4,5,4,0,0,1
104,Male,Premium,46.0,47.48,New,Technology,5,4,3,5,4,5,1,5,3,0,0,0
105,Male,Premium,30.0,38.6,New,Technology,2,3,4,4,3,3,2,3,4,0,0,0
106,Male,Premium,59.0,52.85,Used,Technology,3,3,2,4,2,2,2,4,3,0,0,0
107,Male,Premium,59.0,188.18,New,Technology,3,3,5,5,5,5,3,5,3,0,0,1
108,Male,Premium,51.0,15.05,New,Sport,2,3,3,3,4,5,2,3,4,0,0,0
109,Male,Premium,72.0,292.26,New,Sport,5,5,5,2,2,2,5,2,5,0,0,1
110,Male,Not Premium,36.0,33.34,New,Entertainment,3,2,4,4,4,5,5,1,4,0,0,0
111,Female,Premium,60.0,169.14,New,Entertainment,2,2,4,3,5,4,1,4,4,0,0,0
112,Female,Premium,29.0,251.05,New,Technology,4,1,2,5,4,4,5,5,2,0,0,1
113,Male,Premium,34.0,183.89,New,Home/Kitchen,4,4,5,4,4,4,5,4,3,0,0,1
114,Male,Premium,43.923419078242226,302.82,New,Entertainment,5,5,5,3,5,5,5,5,5,0,0,1
115,Male,Premium,55.0,194.31,New,Sport,2,2,2,1,1,1,4,1,1,0,0,0
116,Female,Premium,28.0,246.54,New,Entertainment,3,3,4,3,2,3,3,2,4,0,0,1
117,Male,Premium,49.0,90.07,New,Technology,5,5,2,5,5,5,5,5,3,0,0,1
118,Male,Premium,59.0,88.6,Used,Sport,2,2,2,5,4,5,4,5,4,0,0,0
119,Female,Not Premium,40.0,93.69,New,Entertainment,2,3,2,2,2,3,1,4,2,0,0,0
120,Male,Premium,42.0,244.93,New,Entertainment,3,3,3,5,5,5,3,5,5,0,0,1
121,Male,Premium,47.0,43.4,New,Technology,5,3,5,2,2,2,3,2,4,0,0,0
122,Female,Premium,31.0,127.35,New,Entertainment,3,3,4,3,2,4,2,1,4,1,0,1
123,Male,Not Premium,31.699850778085697,165.56,New,Home/Kitchen,2,4,4,4,4,2,4,3,4,0,0,0
124,Female,Premium,33.0,20.24,New,Sport,5,5,4,4,4,4,2,4,4,1,0,0
125,Female,Premium,54.0,300.9,New,Technology,1,1,1,5,5,5,2,5,1,0,0,1
126,Male,Premium,61.0,124.92,New,Entertainment,1,1,5,4,4,4,1,4,4,0,0,0
127,Male,Premium,29.0,31.09,New,Technology,4,2,4,3,3,5,4,5,4,0,0,0
128,Female,Premium,62.0,31.3,New,Technology,4,2,2,3,4,2,3,2,2,0,1,0
129,Male,Premium,59.0,84.88,New,Entertainment,2,2,2,4,4,4,5,4,4,0,0,1
130,Male,Premium,43.923419078242226,68.53,New,Technology,4,4,1,4,3,2,2,4,1,0,0,1
131,Female,Premium,38.0,36.24,New,Entertainment,3,3,4,1,5,3,2,2,2,2,2,0
132,Female,Premium,55.0,47.51,New,Entertainment,5,5,1,1,1,1,4,1,4,0,0,0
133,Female,Premium,31.0,100.64,New,Technology,4,5,3,3,4,4,3,3,3,4,4,0
134,Male,Premium,18.0,40.82,New,Sport,5,3,5,5,4,5,3,5,5,0,0,0
135,Male,Not Premium,18.0,117.31,New,Home/Kitchen,3,4,4,4,5,3,2,4,4,0,0,0
136,Female,Premium,51.0,12.05,New,Entertainment,5,1,5,2,1,1,3,1,5,0,0,0
137,Female,Premium,43.9097214811653,48.49,New,Entertainment,4,3,3,5,3,5,4,5,3,1,1,0
138,Male,Premium,52.0,127.94,New,Home/Kitchen,2,3,2,3,3,2,3,1,3,1,1,0
139,Female,Premium,37.0,12.3,New,Home/Kitchen,1,1,5,4,4,5,1,3,5,0,0,1
140,Female,Premium,32.0,21.18,New,Technology,5,5,3,3,3,4,1,4,3,0,0,0
141,Male,Premium,23.0,153.88,New,Technology,4,1,2,3,2,5,3,5,2,0,0,0
142,Male,Premium,55.0,375.59,New,Technology,2,2,1,5,5,5,5,5,5,0,0,1
143,Male,Not Premium,22.0,126.29,New,Technology,1,3,3,4,2,4,4,4,3,0,0,0
144,Female,Premium,70.0,30.68,New,Sport,4,3,1,4,5,4,5,5,1,0,0,0
145,Female,Premium,31.0,148.86,New,Home/Kitchen,5,5,1,3,2,2,1,3,1,0,0,0
146,Female,Premium,38.0,354.91,New,Technology,2,2,3,5,5,5,3,5,5,0,0,1
147,Male,Premium,43.923419078242226,43.66,New,Technology,2,4,4,3,2,3,2,4,4,0,0,0
148,Male,Premium,54.0,52.66,New,Entertainment,4,3,2,4,1,4,1,4,4,0,0,1
149,Male,Premium,23.0,169.38,New,Home/Kitchen,4,2,4,2,5,5,4,4,4,0,0,1
150,Male,Premium,49.0,136.86,New,Technology,3,4,3,2,3,2,1,2,4,0,0,0
151,Female,Premium,35.0,147.83,New,Sport,3,3,2,4,4,4,4,4,4,0,0,1
152,Male,Premium,43.923419078242226,116.26,New,Home/Kitchen,5,4,2,5,4,5,3,5,2,0,0,0
153,Female,Not Premium,20.0,80.39,New,Technology,3,4,3,2,1,3,2,4,3,0,0,0
154,Male,Not Premium,22.0,83.06,New,Other,3,3,5,3,2,4,3,4,5,0,0,0
155,Female,Premium,43.0,58.62,New,Home/Kitchen,1,1,5,4,4,4,4,4,5,0,0,1
156,Female,Premium,43.9097214811653,72.63,New,Technology,3,5,5,5,2,1,3,2,5,0,0,0
157,Female,Premium,58.0,47.5,New,Entertainment,1,1,3,4,4,4,3,4,3,0,0,1
158,Male,Premium,55.0,21.62,New,Sport,5,5,2,4,0,2,5,4,4,0,0,0
159,Female,Premium,25.0,164.76,New,Technology,5,2,5,4,5,5,4,5,5,0,0,1
160,Male,Premium,55.0,92.47,New,Technology,1,3,1,2,2,2,1,2,2,1,1,0
161,Male,Premium,30.0,110.79,New,Technology,1,1,4,5,3,5,5,5,4,0,0,1
162,Male,Premium,21.0,224.91,New,Technology,4,4,2,3,4,4,5,4,2,0,0,1
163,Female,Premium,68.0,225.25,New,Technology,2,3,5,1,5,4,3,3,5,0,0,0
164,Male,Premium,39.0,28.69,New,Technology,3,3,5,2,4,3,3,3,5,0,0,1
165,Male,Not Premium,23.0,40.65,New,Technology,3,3,4,4,3,3,3,3,4,0,0,0
166,Female,Premium,41.0,243.9,New,Technology,1,1,4,4,4,4,3,4,3,0,0,1
167,Female,Premium,59.0,133.89,New,Home/Kitchen,2,5,5,4,4,4,4,4,5,0,0,1
168,Female,Premium,52.0,11.0,New,Entertainment,3,3,5,1,1,1,3,1,4,0,0,1
169,Female,Premium,28.0,23.15,New,Technology,4,4,4,4,5,5,4,4,4,0,0,1
170,Female,Premium,45.0,257.33,New,Technology,3,3,3,5,5,5,3,5,2,0,0,1
171,Male,Premium,43.923419078242226,289.07,New,Technology,5,1,5,4,2,2,1,5,5,1,1,0
172,Male,Premium,32.0,35.36,New,Entertainment,4,2,2,1,1,4,4,3,2,0,0,0
173,Male,Not Premium,56.0,88.31,New,Entertainment,4,3,3,3,1,4,2,3,3,0,0,0
174,Male,Premium,58.0,35.51,New,Sport,1,1,1,1,1,1,4,1,2,0,0,0
175,Female,Premium,31.0,220.22,New,Home/Kitchen,1,4,4,5,5,4,4,5,4,0,0,1
176,Male,Not Premium,28.0,65.67,New,Home/Kitchen,0,5,2,5,2,2,1,4,2,0,0,0
177,Male,Not Premium,24.0,93.71,New,Technology,3,4,2,1,2,4,4,4,2,0,0,0
178,Female,Premium,35.0,72.29,New,Home/Kitchen,5,4,2,5,4,5,4,4,2,0,0,0
179,Female,Premium,45.0,38.47,New,Other,2,2,2,3,3,2,1,3,2,0,0,0
180,Female,Premium,68.0,69.04,New,Technology,5,3,4,4,5,5,5,5,4,0,0,0
181,Female,Premium,51.0,86.99,New,Entertainment,5,1,1,5,5,5,4,4,1,0,0,0
182,Male,Premium,46.0,54.04,New,Home/Kitchen,1,1,3,2,2,2,3,2,5,0,0,1
183,Male,Premium,41.0,39.41,Used,Entertainment,3,2,5,5,5,5,4,5,4,0,0,1
184,Male,Premium,35.0,328.68,New,Entertainment,5,5,2,3,3,4,3,3,3,0,0,0
185,Male,Premium,20.0,170.28,New,Entertainment,5,3,1,1,3,5,4,3,1,0,0,0
186,Male,Premium,42.0,175.13,New,Entertainment,4,4,3,1,2,1,4,1,4,0,0,0
187,Male,Premium,63.0,233.43,New,Entertainment,2,4,2,1,4,1,4,1,1,0,0,0
188,Male,Premium,56.0,146.56,New,Entertainment,4,4,2,2,3,2,5,2,4,0,0,0
189,Female,Premium,57.0,98.16,New,Technology,1,1,3,4,4,4,4,4,4,0,0,1
190,Male,Premium,58.0,61.23,New,Other,4,5,3,2,1,2,3,2,1,0,0,0
191,Male,Premium,30.0,134.99,New,Home/Kitchen,2,2,5,4,1,1,3,3,5,0,0,1
192,Female,Not Premium,29.0,156.05,New,Home/Kitchen,0,3,5,4,3,4,4,5,5,0,0,1
193,Male,Premium,60.0,95.39,New,Other,2,3,1,4,2,4,4,4,4,0,0,0
194,Male,Premium,66.0,95.8,New,Technology,4,3,5,1,3,1,3,1,5,0,0,0
195,Male,Premium,48.0,80.94,New,Home/Kitchen,1,3,4,5,1,2,4,5,2,0,0,0
196,Female,Premium,37.0,23.6,New,Entertainment,0,3,2,1,1,1,5,1,4,0,0,1
197,Male,Premium,25.0,134.06,New,Technology,1,3,3,4,4,4,4,4,3,0,0,0
198,Female,Premium,39.0,35.18,New,Technology,3,3,2,5,4,5,1,5,3,0,0,1
199,Male,Not Premium,22.0,73.0,New,Technology,1,2,5,4,2,3,3,3,5,0,0,0
200,Male,Premium,67.0,47.28,New,Sport,1,1,1,5,5,5,1,5,5,0,0,1
201,Female,Premium,62.0,90.5,New,Entertainment,5,4,4,5,4,5,4,5,4,0,0,0
202,Male,Premium,62.0,14.27,New,Technology,4,3,3,5,3,5,2,5,1,0,0,0
203,Female,Premium,24.0,380.25,New,Technology,4,4,5,3,2,5,4,5,5,0,0,1
204,Female,Premium,61.0,42.6,New,Technology,4,2,2,3,3,4,3,5,2,0,0,0
205,Male,Premium,36.0,341.32,New,Entertainment,1,1,1,2,2,2,2,2,3,0,0,0
206,Female,Premium,58.0,184.24,Used,Home/Kitchen,3,3,3,4,4,4,3,4,5,0,0,1
207,Male,Premium,66.0,31.79,New,Technology,3,3,4,5,3,5,4,5,3,0,0,0
208,Female,Premium,48.0,322.64,New,Entertainment,5,5,3,4,5,4,3,4,5,0,0,1
209,Male,Premium,33.0,20.74,New,Technology,1,1,1,1,5,3,4,3,1,0,0,0
210,Female,Premium,36.0,2.99,New,Technology,3,1,3,3,5,4,4,1,3,0,0,0
211,Male,Premium,21.0,228.58,New,Technology,5,3,1,4,1,3,3,3,1,0,0,1
212,Female,Premium,38.0,136.95,New,Entertainment,1,1,4,5,5,5,4,5,3,0,0,1
213,Male,Premium,43.923419078242226,14.3,New,Technology,3,3,5,1,1,1,5,5,5,0,0,1
214,Female,Premium,45.0,21.66,New,Technology,0,3,3,4,0,2,2,4,3,0,0,0
215,Female,Not Premium,25.0,31.44,Used,Entertainment,1,3,2,1,2,2,4,3,2,0,0,0
216,Female,Premium,46.0,80.41,New,Technology,2,2,1,4,2,3,4,3,1,0,0,0
217,Male,Premium,33.0,90.45,New,Technology,5,5,5,1,3,1,4,1,5,0,0,1
218,Female,Premium,62.0,134.5,New,Sport,2,2,5,3,3,3,3,3,1,0,0,0
219,Female,Premium,36.0,390.64,New,Technology,5,5,4,4,3,2,4,1,4,2,1,0
220,Female,Premium,43.9097214811653,102.84,Used,Entertainment,3,3,3,2,3,4,1,3,3,0,0,0
221,Male,Premium,24.0,18.94,New,Entertainment,2,2,3,2,4,4,3,2,3,1,1,0
222,Female,Premium,49.0,33.92,New,Technology,5,5,2,4,4,4,5,4,3,0,0,1
223,Male,Premium,52.0,104.35,New,Technology,5,5,1,3,3,3,2,3,4,0,0,0
224,Female,Not Premium,22.0,41.3,Used,Entertainment,1,4,3,2,1,4,2,3,3,0,0,0
225,Male,Not Premium,27.0,152.21,New,Other,5,2,5,5,3,4,3,4,5,0,0,1
226,Male,Premium,32.0,189.91,New,Entertainment,2,2,5,4,4,5,3,4,5,0,0,1
227,Female,Premium,67.0,114.48,New,Technology,3,4,4,3,4,4,2,3,4,0,0,0
228,Male,Premium,43.923419078242226,95.92,New,Home/Kitchen,5,2,4,4,2,5,5,5,4,0,0,0
229,Male,Premium,47.0,352.08,New,Entertainment,1,1,5,5,5,5,3,5,3,0,0,1
230,Male,Premium,21.0,110.61,New,Sport,4,3,5,4,5,3,4,4,5,0,0,0
231,Female,Premium,53.0,61.22,New,Entertainment,2,2,3,5,5,5,4,5,5,0,0,1
232,Male,Premium,25.0,212.05,New,Technology,3,3,4,5,5,4,3,5,4,0,0,1
233,Female,Premium,41.0,387.17,New,Entertainment,5,5,3,5,5,5,4,5,5,0,0,1
234,Female,Not Premium,48.0,95.1,New,Technology,1,3,1,1,1,2,2,3,1,0,0,0
235,Female,Not Premium,42.0,134.33,New,Home/Kitchen,4,4,1,4,3,3,1,1,1,0,0,0
236,Male,Premium,58.0,253.41,New,Technology,2,2,5,5,5,5,4,5,5,0,0,1
237,Male,Premium,42.0,351.77,New,Technology,3,3,4,5,5,5,5,5,3,0,0,1
238,Male,Premium,22.0,58.24,New,Technology,2,2,3,4,5,3,1,4,3,0,0,0
239,Female,Premium,50.0,257.9,New,Entertainment,4,4,3,4,4,4,3,4,4,0,0,1
240,Male,Premium,36.0,23.66,New,Home/Kitchen,4,4,4,3,4,4,4,5,4,0,0,0
241,Female,Premium,54.0,18.3,New,Home/Kitchen,5,2,1,4,4,3,5,3,1,0,0,0
242,Female,Premium,29.0,186.62,New,Technology,3,3,2,4,2,2,3,3,2,0,0,0
243,Male,Not Premium,42.0,85.36,Used,Entertainment,2,3,5,5,5,5,5,4,5,0,0,0
244,Male,Premium,61.0,40.34,New,Entertainment,2,2,4,2,1,2,2,2,2,0,0,0
245,Male,Premium,70.0,52.54,New,Technology,5,4,4,4,2,2,3,4,3,0,0,0
246,Female,Premium,41.0,254.0,New,Technology,5,5,2,5,5,5,4,5,4,0,0,1
247,Male,Premium,51.0,163.45,New,Technology,2,2,2,3,3,3,3,3,4,0,0,0
248,Male,Premium,43.923419078242226,19.76,New,Sport,2,3,1,1,3,3,3,4,1,0,0,0
249,Male,Premium,54.0,204.9,New,Entertainment,1,1,3,5,5,5,5,5,3,0,0,1
250,Female,Premium,40.0,256.44,New,Home/Kitchen,2,2,3,4,4,4,4,4,4,0,0,1
251,Female,Premium,19.0,153.87,New,Sport,1,4,4,2,1,3,3,3,4,0,0,0
252,Female,Premium,42.0,361.19,New,Entertainment,5,5,3,5,5,5,4,5,4,0,0,1
253,Male,Not Premium,26.0,47.34,New,Entertainment,2,3,2,4,3,4,5,5,2,0,0,0
254,Male,Premium,49.0,15.77,New,Home/Kitchen,5,2,3,1,2,1,4,1,3,0,0,0
255,Female,Premium,31.0,117.21,New,Entertainment,5,2,5,5,3,4,5,5,5,0,0,0
256,Male,Premium,44.0,258.83,New,Entertainment,5,5,4,5,4,1,4,1,4,0,0,1
257,Female,Premium,44.0,94.24,New,Entertainment,5,3,2,3,2,3,3,3,5,0,0,0
258,Male,Premium,43.0,249.22,New,Entertainment,5,3,5,1,4,1,3,1,4,0,0,1
259,Male,Premium,70.0,39.9,New,Technology,3,3,5,3,2,3,4,3,3,0,0,0
260,Female,Premium,31.0,83.13,New,Entertainment,4,4,2,1,4,4,4,4,2,0,0,0
261,Female,Premium,43.9097214811653,40.9,New,Technology,5,2,2,5,3,5,3,4,2,0,0,0
262,Male,Premium,42.0,87.15,New,Entertainment,4,4,1,1,2,1,2,1,1,1,1,0
263,Male,Premium,58.0,105.08,New,Technology,5,2,3,3,2,3,3,3,5,0,1,0
264,Male,Premium,44.0,301.12,New,Sport,4,4,2,3,3,3,4,3,3,0,1,0
265,Male,Not Premium,36.0,108.94,New,Entertainment,4,4,2,4,3,4,3,4,2,0,0,0
266,Female,Premium,19.0,381.07,New,Home/Kitchen,1,1,3,3,2,5,4,5,3,0,0,1
267,Female,Premium,47.0,150.09,Used,Technology,3,3,5,3,3,4,3,4,5,0,0,0
268,Male,Premium,57.0,60.04,New,Entertainment,3,3,2,4,4,4,5,4,3,0,0,1
269,Male,Premium,56.0,92.94,New,Technology,1,1,3,5,5,5,4,5,3,0,0,1
270,Female,Premium,40.0,85.76,New,Entertainment,5,3,4,3,5,4,4,4,4,0,0,0
271,Male,Premium,58.0,104.76,New,Home/Kitchen,5,3,4,5,2,2,4,5,1,0,0,0
272,Female,Premium,41.0,120.55,New,Technology,5,3,4,5,3,5,5,5,5,0,0,0
273,Female,Not Premium,22.0,138.95,New,Entertainment,3,4,4,1,4,3,3,3,4,0,0,0
274,Male,Not Premium,26.0,19.57,New,Entertainment,0,4,2,5,2,4,3,4,2,0,0,0
275,Female,Premium,42.0,379.96,New,Entertainment,3,3,2,5,5,5,4,5,4,0,0,1
276,Female,Premium,44.0,209.4,New,Home/Kitchen,1,1,3,5,5,5,4,5,3,0,0,1
277,Male,Premium,32.0,79.8,New,Home/Kitchen,3,4,5,1,5,1,4,1,5,0,0,0
278,Female,Not Premium,21.0,26.59,New,Home/Kitchen,2,4,5,4,2,4,4,3,5,0,0,0
