,Age,log_price,log_arrival_delays,Gender_Male,Customer Type_Premium,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
50,35.0,5.823252974632368,0.0,1,1,4,4,3,4,4,4,4,4,3,1
51,49.0,5.051457288616511,0.0,1,1,3,4,2,1,4,1,2,1,2,0
52,58.0,5.565669172526567,0.0,0,1,1,1,4,5,5,5,5,5,3,1
53,51.0,3.204371138665319,0.0,0,1,1,1,5,1,1,3,1,2,5,1
54,27.0,5.836942965171707,0.0,0,1,4,3,2,1,1,2,1,3,2,1
55,37.0,3.520460802488973,0.0,1,1,5,5,1,3,3,2,2,3,1,0
56,24.0,5.132734925758358,0.0,1,1,3,3,2,3,1,4,2,4,2,0
57,39.0,5.881119406601529,0.0,1,1,5,5,5,5,5,5,5,5,4,1
58,49.0,4.873057631111693,0.0,1,1,3,3,3,5,5,5,5,5,2,1
59,57.0,6.013250500429839,0.0,0,1,1,1,5,5,4,5,3,5,5,1
60,52.0,2.8449093838194073,0.0,0,1,5,1,2,5,5,5,3,4,2,0
61,33.0,4.769921621588582,0.0,0,1,1,1,5,4,4,3,3,4,5,0
62,24.0,4.073801660990771,0.0,0,0,5,4,2,3,4,5,4,2,2,1
63,43.9097214811653,4.073801660990771,0.0,0,1,4,4,5,3,4,4,3,4,5,0
64,41.0,5.534021699907105,0.0,0,1,3,3,5,4,4,4,3,4,5,1
65,70.0,3.5868467285487844,0.0,0,1,3,3,3,4,4,4,5,4,3,1
66,20.0,2.166765369851511,0.0,1,1,5,4,5,5,2,5,4,4,5,0
67,50.0,4.909414346738851,0.0,1,1,2,2,2,4,4,4,1,4,1,1
68,28.0,5.8875474336882085,1.0986122886681098,0,1,3,3,4,2,2,2,4,1,4,1
69,35.0,4.268717949166882,0.0,1,0,3,3,1,3,2,3,5,4,1,0
70,45.0,4.790404164229081,0.0,0,0,3,2,4,3,2,2,3,2,4,0
71,36.0,4.470609692592396,0.0,0,1,4,1,3,5,5,5,4,5,3,0
72,51.0,4.806231714156099,0.0,1,1,5,5,5,2,2,2,4,2,4,1
73,67.0,4.291828366755733,0.0,0,1,3,2,3,3,2,3,3,3,4,0
74,58.0,5.0054887399433765,0.0,0,1,5,5,5,4,4,4,4,4,4,1
75,31.699850778085697,3.6328380632303117,0.0,1,0,4,3,3,1,2,4,4,3,3,0
76,45.0,6.011806244765896,0.0,1,1,4,4,3,2,2,2,4,2,3,0
77,38.0,5.3617146116778285,0.0,1,1,1,1,4,4,2,3,5,1,4,1
78,21.0,3.6778185067545115,0.0,0,0,4,4,4,3,3,3,2,1,4,0
79,31.0,5.149701342219253,0.0,0,1,1,1,4,5,3,4,4,4,4,1
80,27.0,4.836678653633929,0.0,0,0,1,2,2,5,5,4,3,5,2,0
81,35.0,5.338307014764196,0.0,0,1,1,1,4,4,4,4,2,4,4,1
82,44.0,5.912042480130491,0.6931471805599453,0,1,5,5,4,3,5,5,4,5,4,1
83,43.0,4.2623981472183505,0.0,0,0,4,1,2,2,2,5,1,5,2,0
84,35.0,5.863716399239187,0.0,0,1,4,4,3,2,3,2,3,2,1,0
85,56.0,4.975353479951616,0.0,1,1,2,2,2,3,2,3,4,3,4,0
86,46.0,5.804893976024612,0.0,0,1,5,1,5,1,1,1,1,1,1,0
87,31.0,4.507116245512703,0.0,0,1,5,4,5,2,3,4,2,1,5,0
88,31.699850778085697,4.6813902118995,0.0,1,0,2,4,5,2,5,3,3,3,5,0
89,39.0,5.491949714487858,0.0,1,1,4,2,5,4,5,4,4,5,5,0
90,43.9097214811653,3.923753928303845,0.0,0,1,0,4,3,3,5,4,4,4,3,0
91,59.0,5.886354000205363,0.6931471805599453,0,1,4,4,3,5,5,5,3,5,4,1
92,44.0,4.46843366241462,1.3862943611198906,1,1,3,3,2,1,4,3,2,3,2,0
93,26.0,4.8187481324326,0.0,1,1,5,1,1,3,2,4,5,5,1,0
94,58.0,6.003269592557745,0.0,1,1,5,5,2,4,4,4,4,4,3,1
95,26.0,3.5882300459640066,0.0,1,1,5,1,4,5,2,4,5,5,4,0
96,69.0,5.071291287969602,0.0,1,1,2,2,3,4,4,4,1,4,4,0
97,63.0,3.9345669698630408,0.0,1,1,3,3,3,1,2,1,4,1,2,0
98,49.0,5.571088826264064,0.0,1,1,4,4,3,4,4,4,5,4,5,1
99,60.0,5.3908509679509695,0.0,1,1,2,2,5,4,4,4,3,4,4,1
100,28.0,5.566816619583044,0.0,0,1,4,4,4,4,5,4,1,3,4,0
101,58.0,4.567260612914871,0.0,0,1,4,4,2,4,4,4,5,4,4,1
102,31.0,2.4664031782234406,0.0,1,1,4,1,3,4,4,2,1,4,3,0
103,43.92341907824223,3.709906821306012,0.0,1,1,2,2,4,3,2,5,4,5,4,1
104,46.0,3.881151341761059,0.0,1,1,5,4,3,5,4,5,1,5,3,0
105,30.0,3.6788291182604347,0.0,1,1,2,3,4,4,3,3,2,3,4,0
106,59.0,3.9862024036023977,0.0,1,1,3,3,2,4,2,2,2,4,3,0
107,59.0,5.242698942785024,0.0,1,1,3,3,5,5,5,5,3,5,3,1
108,51.0,2.775708849576025,0.0,1,1,2,3,3,3,4,5,2,3,4,0
109,72.0,5.681059587548933,0.0,1,1,5,5,5,2,2,2,5,2,5,1
110,36.0,3.5363108554693294,0.0,1,0,3,2,4,4,4,5,5,1,4,0
111,60.0,5.136621627547738,0.0,0,1,2,2,4,3,5,4,1,4,4,0
112,29.0,5.52962748052864,0.0,0,1,4,1,2,5,4,4,5,5,2,1
113,34.0,5.219761053642261,0.0,1,1,4,4,5,4,4,4,5,4,3,1
114,43.92341907824223,5.716435420779517,0.0,1,1,5,5,5,3,5,5,5,5,5,1
115,55.0,5.2745880398488,0.0,1,1,2,2,2,1,1,1,4,1,1,0
116,28.0,5.511572185111876,0.0,0,1,3,3,4,3,2,3,3,2,4,1
117,49.0,4.511628441579727,0.0,1,1,5,5,2,5,5,5,5,5,3,1
118,59.0,4.4953553199808844,0.0,1,1,2,2,2,5,4,5,4,5,4,0
119,40.0,4.550608397995409,0.0,0,0,2,3,2,2,2,3,1,4,2,0
120,42.0,5.505046942593991,0.0,1,1,3,3,3,5,5,5,3,5,5,1
121,47.0,3.7932394694381792,0.0,1,1,5,3,5,2,2,2,3,2,4,0
122,31.0,4.854760907317149,0.0,0,1,3,3,4,3,2,4,2,1,4,1
123,31.699850778085697,5.115355604866659,0.0,1,0,2,4,4,4,4,2,4,3,4,0
124,33.0,3.055886196373738,0.0,0,1,5,5,4,4,4,4,2,4,4,0
125,54.0,5.710095836712793,0.0,0,1,1,1,1,5,5,5,2,5,1,1
126,61.0,4.835646784669093,0.0,1,1,1,1,5,4,4,4,1,4,4,0
127,29.0,3.4685444551217657,0.0,1,1,4,2,4,3,3,5,4,5,4,0
128,62.0,3.475067230228611,0.6931471805599453,0,1,4,2,2,3,4,2,3,2,2,0
129,59.0,4.45295097301058,0.0,1,1,2,2,2,4,4,4,5,4,4,1
130,43.92341907824223,4.2417583141109265,0.0,1,1,4,4,1,4,3,2,2,4,1,1
131,38.0,3.617383452408866,1.0986122886681098,0,1,3,3,4,1,5,3,2,2,2,0
132,55.0,3.8817699622571253,0.0,0,1,5,5,1,1,1,1,4,1,4,0
133,31.0,4.621437158451963,1.6094379124341003,0,1,4,5,3,3,4,4,3,3,3,0
134,18.0,3.7333746940004877,0.0,1,1,5,3,5,5,4,5,3,5,5,0
135,18.0,4.7733082982655715,0.0,1,0,3,4,4,4,5,3,2,4,4,0
136,51.0,2.5687881337687024,0.0,0,1,5,1,5,2,1,1,3,1,5,0
137,43.9097214811653,3.901770628963795,0.6931471805599453,0,1,4,3,3,5,3,5,4,5,3,0
138,52.0,4.859347179882474,0.6931471805599453,1,1,2,3,2,3,3,2,3,1,3,0
139,37.0,2.5877640352277083,0.0,0,1,1,1,5,4,4,5,1,3,5,1
140,32.0,3.099190981922221,0.0,0,1,5,5,3,3,3,4,1,4,3,0
141,23.0,5.042650623528266,0.0,1,1,4,1,2,3,2,5,3,5,2,0
142,55.0,5.931157062498227,0.0,1,1,2,2,1,5,5,5,5,5,5,1
143,22.0,4.846467947882343,0.0,1,0,1,3,3,4,2,4,4,4,3,0
144,70.0,3.455685566946225,0.0,0,1,4,3,1,4,5,4,5,5,1,0
145,31.0,5.0097015249361645,0.0,0,1,5,5,1,3,2,2,1,3,1,0
146,38.0,5.874677889901688,0.0,0,1,2,2,3,5,5,5,3,5,5,1
147,43.92341907824223,3.799078246412012,0.0,1,1,2,4,4,3,2,3,2,4,4,0
148,54.0,3.982667844997478,0.0,1,1,4,3,2,4,1,4,1,4,4,1
149,23.0,5.138031236614695,0.0,1,1,4,2,4,2,5,5,4,4,4,1
150,49.0,4.926238677457506,0.0,1,1,3,4,3,2,3,2,1,2,4,0
151,35.0,5.0028047149810675,0.0,0,1,3,3,2,4,4,4,4,4,4,1
152,43.92341907824223,4.764393691536069,0.0,1,1,5,4,2,5,4,5,3,5,2,0
153,20.0,4.3992524153389505,0.0,0,0,3,4,3,2,1,3,2,4,3,0
154,22.0,4.431530829576971,0.0,1,0,3,3,5,3,2,4,3,4,5,0
155,43.0,4.087991088249925,0.0,0,1,1,1,5,4,4,4,4,4,5,1
156,43.9097214811653,4.299052551380625,0.0,0,1,3,5,5,5,2,1,3,2,5,0
157,58.0,3.8815637979434374,0.0,0,1,1,1,3,4,4,4,3,4,3,1
158,55.0,3.1188344706879745,0.0,1,1,5,5,2,4,0,2,5,4,4,0
159,25.0,5.110540959071118,0.0,0,1,5,2,5,4,5,5,4,5,5,1
160,55.0,4.537640529194492,0.6931471805599453,1,1,1,3,1,2,2,2,1,2,2,0
161,30.0,4.716622111282234,0.0,1,1,1,1,4,5,3,5,5,5,4,1
162,21.0,5.420136689869131,0.0,1,1,4,4,2,3,4,4,5,4,2,1
163,68.0,5.421640582580036,0.0,0,1,2,3,5,1,5,4,3,3,5,0
164,39.0,3.3908102887756684,0.0,1,1,3,3,5,2,4,3,3,3,5,1
165,23.0,3.7293013686128518,0.0,1,0,3,3,4,4,3,3,3,3,4,0
166,41.0,5.500849963958122,0.0,0,1,1,1,4,4,4,4,3,4,3,1
167,59.0,4.904459631481588,0.0,0,1,2,5,5,4,4,4,4,4,5,1
168,52.0,2.4849066497880004,0.0,0,1,3,3,5,1,1,1,3,1,4,1
169,28.0,3.184284380098582,0.0,0,1,4,4,4,4,5,5,4,4,4,1
170,45.0,5.554237837376183,0.0,0,1,3,3,3,5,5,5,3,5,2,1
171,43.92341907824223,5.670122273163566,0.6931471805599453,1,1,5,1,5,4,2,2,1,5,5,0
172,32.0,3.5934692693092782,0.0,1,1,4,2,2,1,1,4,4,3,2,0
173,56.0,4.4921134636957945,0.0,1,0,4,3,3,3,1,4,2,3,3,0
174,58.0,3.5975861956675455,0.0,1,1,1,1,1,1,1,1,4,1,2,0
175,31.0,5.399157681474108,0.0,0,1,1,4,4,5,5,4,4,5,4,1
176,28.0,4.199755076629969,0.0,1,0,0,5,2,5,2,2,1,4,2,0
177,24.0,4.55081959123801,0.0,1,0,3,4,2,1,2,4,4,4,2,0
178,35.0,4.294424173937759,0.0,0,1,5,4,2,5,4,5,4,4,2,0
179,45.0,3.675540889674756,0.0,0,1,2,2,2,3,3,2,1,3,2,0
180,68.0,4.249066507417651,0.0,0,1,5,3,4,4,5,5,5,5,4,0
181,51.0,4.477223171657469,0.0,0,1,5,1,1,5,5,5,4,4,1,0
182,46.0,4.008060193625088,0.0,1,1,1,1,3,2,2,2,3,2,5,1
183,41.0,3.6990772790903823,0.0,1,1,3,2,5,5,5,5,4,5,4,1
184,35.0,5.798122487030562,0.0,1,1,5,5,2,3,3,4,3,3,3,0
185,20.0,5.143299644281427,0.0,1,1,5,3,1,1,3,5,4,3,1,0
186,42.0,5.171222358744204,0.0,1,1,4,4,3,1,2,1,4,1,4,0
187,63.0,5.457157035861426,0.0,1,1,2,4,2,1,4,1,4,1,1,0
188,56.0,4.994234872728475,0.0,1,1,4,4,2,2,3,2,5,2,4,0
189,57.0,4.5967347071669895,0.0,0,1,1,1,3,4,4,4,4,4,4,1
190,58.0,4.130837198581126,0.0,1,1,4,5,3,2,1,2,3,2,1,0
191,30.0,4.912581353620868,0.0,1,1,2,2,5,4,1,1,3,3,5,1
192,29.0,5.056564225984656,0.0,0,0,0,3,5,4,3,4,4,5,5,1
193,60.0,4.568402461795877,0.0,1,1,2,3,1,4,2,4,4,4,4,0
194,66.0,4.572646994282532,0.0,1,1,4,3,5,1,3,1,3,1,5,0
195,48.0,4.405987272118725,0.0,1,1,1,3,4,5,1,2,4,5,2,0
196,37.0,3.202746442938317,0.0,0,1,0,3,2,1,1,1,5,1,4,1
197,25.0,4.905719124146696,0.0,1,1,1,3,3,4,4,4,4,4,3,0
198,39.0,3.588506479967149,0.0,0,1,3,3,2,5,4,5,1,5,3,1
199,22.0,4.30406509320417,0.0,1,0,1,2,5,4,2,3,3,3,5,0
200,67.0,3.8770173962293306,0.0,1,1,1,1,1,5,5,5,1,5,5,1
201,62.0,4.516338972281476,0.0,0,1,5,4,4,5,4,5,4,5,4,0
202,62.0,2.725890119230541,0.0,1,1,4,3,3,5,3,5,2,5,1,0
203,24.0,5.943455327921622,0.0,0,1,4,4,5,3,2,5,4,5,5,1
204,61.0,3.775057150354989,0.0,0,1,4,2,2,3,3,4,3,5,2,0
205,36.0,5.835745972108561,0.0,1,1,1,1,1,2,2,2,2,2,3,0
206,58.0,5.221652281612552,0.0,0,1,3,3,3,4,4,4,3,4,5,1
207,66.0,3.4901235908565567,0.0,1,1,3,3,4,5,3,5,4,5,3,0
208,48.0,5.779631786939639,0.0,0,1,5,5,3,4,5,4,3,4,5,1
209,33.0,3.0791538816930633,0.0,1,1,1,1,1,1,5,3,4,3,1,0
210,36.0,1.3837912309017721,0.0,0,1,3,1,3,3,5,4,4,1,3,0
211,21.0,5.4362515526373505,0.0,1,1,5,3,1,4,1,3,3,3,1,1
212,38.0,4.926891300663295,0.0,0,1,1,1,4,5,5,5,4,5,3,1
213,43.92341907824223,2.72785282839839,0.0,1,1,3,3,5,1,1,1,5,5,5,1
214,45.0,3.12060125559986,0.0,0,1,0,3,3,4,0,2,2,4,3,0
215,25.0,3.479392229247212,0.0,0,0,1,3,2,1,2,2,4,3,2,0
216,46.0,4.399498115585886,0.0,0,1,2,2,1,4,2,3,4,3,1,0
217,33.0,4.515792374836875,0.0,1,1,5,5,5,1,3,1,4,1,5,1
218,62.0,4.908971640319756,0.0,0,1,2,2,5,3,3,3,3,3,1,0
219,36.0,5.97034305048587,0.6931471805599453,0,1,5,5,4,4,3,2,4,1,4,0
220,43.9097214811653,4.64285125295578,0.0,0,1,3,3,3,2,3,4,1,3,3,0
221,24.0,2.9927277645336923,0.6931471805599453,1,1,2,2,3,2,4,4,3,2,3,0
222,49.0,3.5530597309714014,0.0,0,1,5,5,2,4,4,4,5,4,3,1
223,52.0,4.6572881402501976,0.0,1,1,5,5,1,3,3,3,2,3,4,0
224,22.0,3.744787086052232,0.0,0,0,1,4,3,2,1,4,2,3,3,0
225,27.0,5.031809529327663,0.0,1,0,5,2,5,5,3,4,3,4,5,1
226,32.0,5.251802112806568,0.0,1,1,2,2,5,4,4,5,3,4,5,1
227,67.0,4.749097354794734,0.0,0,1,3,4,4,3,4,4,2,3,4,0
228,43.92341907824223,4.573885895948325,0.0,1,1,5,2,4,4,2,5,5,5,4,0
229,47.0,5.8666946601520324,0.0,1,1,1,1,5,5,5,5,3,5,3,1
230,21.0,4.715010651667623,0.0,1,1,4,3,5,4,5,3,4,4,5,0
231,53.0,4.130676491469491,0.0,0,1,2,2,3,5,5,5,4,5,5,1
232,25.0,5.361526879945921,0.0,1,1,3,3,4,5,5,4,3,5,4,1
233,41.0,5.961443387995971,0.0,0,1,5,5,3,5,5,5,4,5,5,1
234,48.0,4.565389315976247,0.0,0,0,1,3,1,1,1,2,2,3,1,0
235,42.0,4.907716240088415,0.0,0,0,4,4,1,4,3,3,1,1,1,0
236,58.0,5.5389471388695215,0.0,1,1,2,2,5,5,5,5,4,5,5,1
237,42.0,5.865816286503434,0.0,1,1,3,3,4,5,5,5,5,5,3,1
238,22.0,4.081596989399598,0.0,1,1,2,2,3,4,5,3,1,4,3,0
239,50.0,5.556441886757492,0.0,0,1,4,4,3,4,4,4,3,4,4,1
240,36.0,3.2051824977361982,0.0,1,1,4,4,4,3,4,4,4,5,4,0
241,54.0,2.9601050959108397,0.0,0,1,5,2,1,4,4,3,5,3,1,0
242,29.0,5.234418640697805,0.0,0,1,3,3,2,4,2,2,3,3,2,0
243,42.0,4.458524605646606,0.0,1,0,2,3,5,5,5,5,5,4,5,0
244,61.0,3.7218305542536223,0.0,1,1,2,2,4,2,1,2,2,2,2,0
245,70.0,3.9804290380922063,0.0,1,1,5,4,4,4,2,2,3,4,3,0
246,41.0,5.541263545158426,0.0,0,1,5,5,2,5,5,5,4,5,4,1
247,51.0,5.102606572635066,0.0,1,1,2,2,2,3,3,3,3,3,4,0
248,43.92341907824223,3.033028058297688,0.0,1,1,2,3,1,1,3,3,3,4,1,0
249,54.0,5.327390614033744,0.0,1,1,1,1,3,5,5,5,5,5,3,1
250,40.0,5.550786683244073,0.0,0,1,2,2,3,4,4,4,4,4,4,1
251,19.0,5.0425860553280835,0.0,0,1,1,4,4,2,1,3,3,3,4,0
252,42.0,5.892168936012406,0.0,0,1,5,5,3,5,5,5,4,5,4,1
253,26.0,3.878259375275337,0.0,1,0,2,3,2,4,3,4,5,5,2,0
254,49.0,2.8195915758351173,0.0,1,1,5,2,3,1,2,1,4,1,3,0
255,31.0,4.772462703762286,0.0,0,1,5,2,5,5,3,4,5,5,5,0
256,44.0,5.560027571011063,0.0,1,1,5,5,4,5,4,1,4,1,4,1
257,44.0,4.556400021618662,0.0,0,1,5,3,2,3,2,3,3,3,5,0
258,43.0,5.522340530889254,0.0,1,1,5,3,5,1,4,1,3,1,4,1
259,70.0,3.711130063048756,0.0,1,1,3,3,5,3,2,3,4,3,3,0
260,31.0,4.432363221562722,0.0,0,1,4,4,2,1,4,4,4,4,2,0
261,43.9097214811653,3.735285826928092,0.0,0,1,5,2,2,5,3,5,3,4,2,0
262,42.0,4.4790399088438795,0.6931471805599453,1,1,4,4,1,1,2,1,2,1,1,0
263,58.0,4.664193526437552,0.6931471805599453,1,1,5,2,3,3,2,3,3,3,5,0
264,44.0,5.710824289445247,0.6931471805599453,1,1,4,4,2,3,3,3,4,3,3,0
265,36.0,4.699934762432514,0.0,1,0,4,4,2,4,3,4,3,4,2,0
266,19.0,5.945603837892363,0.0,0,1,1,1,3,3,2,5,4,5,3,1
267,47.0,5.01787568575175,0.0,0,1,3,3,5,3,3,4,3,4,5,0
268,57.0,4.111529386976201,0.0,1,1,3,3,2,4,4,4,5,4,3,1
269,56.0,4.542656280598849,0.0,1,1,1,1,3,5,5,5,4,5,3,1
270,40.0,4.463145685958674,0.0,0,1,5,3,4,3,5,4,4,4,4,0
271,58.0,4.6611723761033765,0.0,1,1,5,3,4,5,2,2,4,5,1,0
272,41.0,4.800325700762133,0.0,0,1,5,3,4,5,3,5,5,5,5,0
273,22.0,4.941285215961463,0.0,0,0,3,4,4,1,4,3,3,3,4,0
274,26.0,3.0238337036648657,0.0,1,0,0,4,2,5,2,4,3,4,2,0
275,42.0,5.942694382738552,0.0,0,1,3,3,2,5,5,5,4,5,4,1
276,44.0,5.349010480863555,0.0,0,1,1,1,3,5,5,5,4,5,3,1
277,32.0,4.39197696552705,0.0,1,1,3,4,5,1,5,1,4,1,5,0
278,21.0,3.3174533882291946,0.0,0,0,2,4,5,4,2,4,4,3,5,0
279,42.0,3.942164162340133,0.0,1,1,5,5,1,5,5,5,3,5,4,1
280,42.0,4.755657019262028,0.0,1,0,3,3,5,2,1,3,3,4,5,0
281,36.0,4.282758633015213,0.0,1,1,4,4,3,2,1,5,2,3,3,1
282,58.0,5.43354731580814,0.0,0,1,4,3,3,5,5,4,5,5,5,1
283,39.0,3.4210000089583352,0.0,0,0,3,3,5,2,5,3,2,2,5,0
284,37.0,3.879499813722586,0.0,0,1,1,1,4,4,1,2,5,4,4,1
285,38.0,3.6514371586380663,0.0,1,1,3,4,1,2,5,5,3,5,1,0
286,46.0,3.9706692008608795,0.0,0,1,4,3,1,4,1,4,3,4,1,1
287,43.92341907824223,4.805659046737495,0.0,1,1,2,2,5,2,3,5,1,4,5,1
288,29.0,5.006024681538572,0.0,0,1,5,4,2,5,2,5,5,5,2,0
289,66.0,4.104294893075269,0.0,0,1,3,2,5,3,2,2,4,1,5,0
290,54.0,2.9922261342247034,0.0,0,1,5,3,4,5,2,5,2,4,4,0
291,51.0,5.730716475896282,0.0,0,1,5,5,5,5,5,5,4,5,2,1
292,56.0,4.0933440618885175,0.0,1,1,4,1,5,3,3,3,5,3,4,0
293,58.0,4.527857082885421,0.0,0,1,5,2,1,5,3,5,3,4,1,0
294,43.9097214811653,3.173459961337718,0.0,0,1,3,5,3,2,3,3,2,5,3,0
295,58.0,5.030176449303092,0.0,0,1,2,2,2,4,4,4,2,4,5,1
296,43.0,5.904162218705185,0.0,0,1,2,2,4,4,3,4,4,5,4,1
297,58.0,4.092676505121403,0.0,0,1,1,1,4,3,4,3,5,3,4,1
298,30.0,5.013830184992774,0.0,0,0,4,1,3,2,5,3,3,4,3,0
299,43.9097214811653,3.961955374176355,0.0,0,1,5,1,4,1,5,1,2,2,4,0
300,21.0,5.954255808575653,0.0,0,1,2,2,4,1,4,3,4,5,4,1
301,19.0,1.1184149159642893,0.0,1,1,3,3,1,5,2,2,5,5,1,0
302,29.0,5.494747264343823,0.0,0,1,5,5,2,3,3,5,5,4,2,1
303,31.699850778085697,4.856551278713541,0.6931471805599453,1,0,0,3,3,3,2,5,5,5,3,1
304,39.0,4.571406555835282,0.0,0,1,3,3,5,5,5,5,3,5,4,1
305,32.0,4.756087071304952,0.0,0,1,2,2,5,5,2,3,5,5,5,1
306,23.0,4.567883601202075,0.0,1,1,5,2,4,4,2,2,3,3,4,1
307,51.0,4.154655409326203,0.0,1,1,3,3,1,3,3,3,2,3,1,0
308,49.0,4.295651418927136,0.0,1,1,4,4,1,2,2,2,4,2,2,0
309,41.0,4.842374420950636,0.6931471805599453,1,0,4,3,2,4,2,3,5,4,2,1
310,44.0,5.289276621895888,0.0,0,1,2,2,2,1,4,4,1,4,2,0
311,34.0,4.33204826486764,0.0,1,1,4,3,3,5,5,5,5,1,3,0
312,43.9097214811653,4.470037511996595,0.0,0,1,2,3,3,2,1,4,4,4,3,0
313,33.0,5.7395999675215945,0.0,0,1,5,5,4,5,5,4,4,5,4,1
314,33.0,1.682688374173693,0.0,1,1,2,2,3,5,5,5,4,5,3,1
315,38.0,5.625929035451337,0.0,0,1,1,1,4,4,3,4,4,3,4,0
316,66.0,3.940999113664663,0.0,1,1,5,3,4,1,4,2,3,1,3,0
317,52.0,3.521938999358284,0.0,1,1,5,5,4,4,4,4,3,4,2,0
318,43.9097214811653,4.054390246715068,0.6931471805599453,0,1,4,4,3,1,2,4,4,4,3,0
