,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Satisfaction
304,3,3,5,5,5,5,3,5,4,1
305,2,2,5,5,2,3,5,5,5,1
306,5,2,4,4,2,2,3,3,4,1
307,3,3,1,3,3,3,2,3,1,0
308,4,4,1,2,2,2,4,2,2,0
310,2,2,2,1,4,4,1,4,2,0
311,4,3,3,5,5,5,5,1,3,0
312,2,3,3,2,1,4,4,4,3,0
313,5,5,4,5,5,4,4,5,4,1
314,2,2,3,5,5,5,4,5,3,1
315,1,1,4,4,3,4,4,3,4,0
316,5,3,4,1,4,2,3,1,3,0
317,5,5,4,4,4,4,3,4,2,0
318,4,4,3,1,2,4,4,4,3,0
320,4,4,5,5,5,5,5,5,5,1
321,1,1,1,4,4,4,2,4,1,1
322,5,5,3,5,5,4,5,5,4,1
323,3,2,4,3,3,2,2,3,4,0
324,4,5,5,5,3,4,5,5,5,0
327,3,3,5,4,4,4,5,4,1,1
328,2,4,1,1,5,4,2,4,1,0
329,4,1,1,5,4,5,3,4,1,0
332,5,5,2,5,5,5,3,5,4,1
333,4,4,3,1,2,1,4,1,1,0
334,1,3,3,2,2,2,2,3,3,0
335,3,3,5,5,5,5,5,5,5,1
336,5,1,1,4,3,5,3,4,1,0
337,4,3,2,1,2,1,4,1,3,0
339,1,1,5,3,3,5,5,5,5,1
341,1,1,5,2,2,1,4,2,2,0
343,1,5,4,4,4,1,5,1,4,1
344,1,1,5,4,4,3,1,4,4,0
345,4,3,4,3,5,4,1,4,4,0
346,5,4,3,3,2,4,3,5,3,0
347,5,4,1,5,3,5,5,5,1,0
348,1,1,4,4,4,4,3,4,4,1
349,2,3,4,3,3,5,4,3,4,0
350,5,3,5,2,4,2,4,2,5,0
352,1,1,3,3,3,3,5,3,5,1
353,4,3,2,4,1,4,4,4,2,0
354,4,1,4,2,3,1,4,2,4,0
355,1,1,1,2,1,2,1,2,1,0
356,4,4,5,5,5,5,4,5,4,1
357,4,3,1,4,2,5,3,5,1,0
359,3,3,2,5,5,5,3,5,3,1
362,1,1,3,5,5,5,4,5,4,1
363,1,1,4,5,5,5,1,5,3,1
364,4,4,2,5,5,5,4,4,2,1
365,1,1,4,4,5,5,4,4,4,1
366,2,2,2,4,4,4,4,4,3,1
367,4,1,4,5,3,5,5,5,2,0
368,2,3,4,3,2,3,1,4,4,0
369,4,4,4,1,1,3,1,4,4,0
371,5,5,4,4,4,4,3,4,5,1
372,4,1,3,2,5,5,3,5,3,0
374,1,1,5,3,3,3,3,3,2,0
375,3,5,5,2,4,4,2,4,5,1
376,3,3,3,4,3,3,3,1,3,0
378,4,4,3,1,2,1,4,1,2,0
379,4,4,3,3,4,2,4,3,3,0
380,4,4,5,5,5,5,5,5,4,1
381,4,5,2,5,2,3,4,5,5,0
382,2,2,3,3,2,3,2,3,3,0
383,4,1,4,5,3,3,1,5,4,0
384,5,1,4,3,3,3,3,3,5,1
385,4,2,5,3,1,3,4,3,5,0
386,5,1,2,3,4,5,5,4,2,0
387,3,3,4,1,2,4,1,3,4,0
388,5,5,3,4,5,4,4,4,5,1
389,4,4,2,1,5,2,1,3,2,0
390,5,3,2,3,4,3,5,5,2,0
392,4,5,4,4,2,4,5,5,4,0
393,4,4,3,4,4,4,5,4,3,1
394,4,4,4,1,3,1,4,4,4,1
396,3,3,4,3,1,5,5,5,4,1
398,1,1,5,1,1,1,4,1,3,0
399,2,4,5,3,4,3,5,5,5,1
402,2,2,4,2,2,2,2,2,3,0
403,5,1,4,5,5,5,3,5,4,1
404,4,4,2,2,2,1,3,2,2,0
405,5,1,5,5,2,5,3,4,5,0
406,4,1,1,3,5,4,5,5,1,0
407,4,4,1,5,5,5,1,5,5,1
408,5,5,5,4,4,4,5,4,4,1
409,5,2,3,3,4,4,3,4,3,0
410,4,2,2,5,3,5,5,5,2,0
411,5,5,4,5,4,5,2,5,4,1
412,2,3,4,1,3,4,4,3,4,0
414,5,1,5,4,4,4,3,4,4,1
415,2,2,1,4,4,4,2,4,1,0
416,2,2,5,4,4,4,2,4,1,1
417,3,3,5,4,3,4,5,5,5,1
419,2,2,2,4,4,4,5,4,3,1
420,5,5,4,2,4,5,5,1,4,1
421,1,2,3,3,3,3,2,4,2,0
423,2,3,2,4,4,4,2,4,1,0
425,3,3,4,4,5,4,4,4,3,1
426,5,1,2,3,4,5,2,3,2,0
427,5,2,4,3,5,5,4,4,4,0
428,4,4,2,4,4,4,1,4,5,1
429,1,1,2,4,4,4,5,4,3,1
432,3,3,4,4,4,4,4,4,5,1
433,1,1,3,2,2,2,4,4,3,0
434,5,5,2,4,4,4,5,4,3,1
435,4,4,1,2,2,3,1,4,1,0
436,1,1,3,3,3,3,5,3,5,1
437,3,3,4,5,5,5,4,5,3,1
439,4,4,3,4,4,4,2,3,3,0
440,4,4,2,2,5,3,1,3,2,0
441,4,3,4,5,5,4,4,4,4,0
442,4,2,5,3,3,3,3,3,1,0
443,4,4,5,5,5,5,4,5,4,1
444,1,4,1,1,5,3,3,3,1,0
445,1,4,3,2,2,3,2,3,3,0
446,1,2,1,2,2,2,3,2,1,0
447,3,3,4,3,4,3,5,3,2,0
448,2,2,3,4,4,4,4,4,5,1
449,4,4,2,4,2,2,3,5,2,1
450,2,4,1,4,1,3,1,4,1,0
451,5,5,1,2,4,2,4,1,1,0
452,1,4,3,3,4,3,4,3,3,0
453,5,1,5,3,2,4,4,5,5,0
454,5,1,2,3,3,5,4,4,2,1
455,4,2,5,3,2,4,5,5,5,0
457,2,4,3,5,5,5,5,5,4,1
458,5,5,5,4,4,4,3,4,5,1
460,5,4,4,1,2,1,2,3,4,0
461,5,4,5,2,3,4,1,2,5,0
462,2,2,5,4,4,4,4,4,5,1
464,4,2,2,5,5,5,4,4,4,0
465,4,4,4,4,4,4,4,4,5,1
466,4,4,2,1,5,4,2,5,2,1
467,4,4,5,2,2,2,4,2,4,1
468,3,3,4,1,5,4,1,2,4,0
469,3,2,1,5,2,5,5,1,5,0
470,5,5,4,4,4,4,1,4,2,0
471,5,2,2,5,3,4,5,4,2,0
472,4,4,4,3,5,4,5,5,4,1
474,1,1,2,4,3,4,1,4,1,0
475,1,3,3,4,3,2,2,3,3,0
477,5,5,2,4,4,4,2,2,2,0
478,4,4,4,4,4,4,5,4,4,1
479,4,4,5,3,3,5,4,3,5,1
480,4,4,1,2,3,3,2,3,1,0
481,4,4,4,3,3,3,2,3,1,0
483,2,2,4,5,1,3,5,3,4,1
484,1,2,3,2,5,2,1,2,3,0
485,1,1,2,5,5,5,4,5,4,1
486,1,1,5,3,4,4,1,2,5,1
487,5,2,2,3,1,2,1,3,2,0
488,1,1,5,4,4,4,5,4,5,1
489,0,2,3,1,2,3,1,2,3,1
490,4,4,3,5,5,5,3,5,4,1
491,4,4,2,4,4,4,4,4,5,1
492,5,5,4,4,4,4,3,4,5,1
493,5,5,5,3,5,5,1,1,5,1
494,4,5,5,3,4,5,3,5,5,0
495,5,5,4,4,4,4,5,4,4,1
496,3,3,2,5,5,5,4,5,5,1
497,3,3,2,2,4,3,1,4,2,0
499,1,1,2,4,4,4,4,4,4,1
500,4,3,4,2,4,4,1,3,4,0
501,3,3,1,1,5,4,3,3,1,0
502,4,3,3,4,3,5,3,5,3,0
503,2,5,1,4,4,4,5,4,3,1
505,1,1,5,4,4,4,5,4,3,1
507,4,4,3,4,4,5,4,4,5,1
508,1,1,4,3,3,3,2,3,3,0
509,2,2,5,1,1,2,5,2,5,1
510,1,1,5,4,4,4,1,4,1,1
511,4,4,3,3,1,3,3,3,3,0
513,3,3,4,2,2,2,1,2,2,0
515,4,4,1,2,2,2,2,2,3,0
516,4,1,5,4,2,4,5,5,5,0
517,4,4,2,3,2,3,4,3,3,1
518,1,4,5,4,5,4,4,4,5,1
519,1,1,1,4,4,4,1,2,1,0
521,4,4,2,4,4,4,4,4,2,1
522,4,4,4,5,4,5,3,5,3,1
523,4,2,1,5,2,4,3,5,1,0
524,5,5,3,3,3,3,1,3,2,1
525,2,2,2,2,2,2,3,2,2,0
526,4,2,3,2,4,2,5,2,5,0
527,4,4,3,4,4,4,5,4,4,1
529,4,4,1,1,1,4,3,4,1,0
530,3,2,4,5,1,1,3,1,4,0
532,1,3,4,3,3,2,2,3,4,0
534,5,5,5,5,4,5,4,4,5,0
535,3,4,5,1,1,3,2,3,5,0
537,4,4,5,5,5,5,2,5,5,1
538,4,3,5,2,5,4,1,4,5,0
539,3,3,2,2,3,2,3,2,2,0
540,1,1,4,4,4,4,4,4,3,1
541,2,3,4,2,2,4,4,3,4,0
542,1,1,2,2,2,2,4,2,3,0
543,1,3,2,1,5,3,1,3,2,0
545,4,4,3,3,4,3,5,3,4,1
546,4,4,4,5,5,5,3,5,4,1
547,2,2,5,2,2,1,1,2,2,0
548,4,4,2,5,5,5,5,5,5,1
549,4,4,2,1,5,3,4,3,2,0
550,2,2,3,5,5,5,4,5,5,1
551,2,4,4,4,2,4,1,3,4,0
552,1,1,4,3,3,3,3,3,4,1
553,5,5,2,4,4,4,4,4,4,1
554,1,1,4,2,2,2,4,2,4,1
556,5,5,4,3,5,4,5,4,4,1
557,4,4,4,3,4,4,3,4,4,1
558,2,4,1,4,2,4,2,3,1,0
559,1,1,4,5,5,5,3,5,3,1
560,5,2,3,5,5,4,3,5,3,0
561,3,3,2,3,3,3,5,3,3,1
562,5,3,1,5,5,5,3,4,1,0
563,2,2,3,3,4,4,3,3,3,0
564,2,2,4,4,4,4,5,4,5,1
565,5,5,1,2,5,3,3,4,1,0
569,1,1,3,5,5,5,5,5,5,1
572,4,2,2,5,5,4,5,5,2,0
573,4,4,3,4,4,4,4,4,3,1
575,4,4,3,4,4,4,3,4,5,1
576,5,1,3,5,3,4,4,4,3,0
577,1,2,3,1,2,2,2,2,3,0
578,2,3,3,1,1,1,3,1,1,0
579,1,4,2,3,1,4,2,3,2,0
580,4,2,1,3,2,3,4,4,1,0
581,5,3,3,4,3,4,3,4,4,0
582,2,2,1,4,4,3,3,4,1,1
583,5,5,5,5,2,5,5,4,5,1
585,4,4,3,4,5,4,3,4,3,0
588,3,3,4,1,2,5,2,4,4,0
590,1,3,3,2,2,3,3,3,3,0
591,5,2,4,5,3,4,3,4,4,0
593,4,4,5,5,5,5,1,5,4,1
594,5,3,3,1,3,1,5,1,3,0
595,4,3,3,1,3,3,2,3,3,0
596,4,4,4,5,1,1,3,3,4,1
597,3,3,3,3,5,1,1,3,3,0
598,2,2,4,2,3,4,1,2,4,1
599,3,3,4,3,2,3,3,3,3,0
600,2,4,1,2,3,3,4,2,4,0
601,4,3,1,4,4,4,4,3,4,0
602,4,4,3,4,5,1,2,1,3,0
603,0,2,5,3,3,3,3,3,5,1
604,5,5,2,4,2,5,5,5,2,0
605,3,3,4,3,4,3,3,3,5,1
607,3,3,2,5,5,5,4,5,3,1
608,2,2,3,4,4,4,3,4,5,1
609,0,3,1,4,1,5,2,1,1,1
610,4,2,4,1,3,1,1,1,3,0
612,3,3,5,3,3,3,4,3,1,0
614,1,1,2,4,4,4,3,4,3,1
615,4,4,5,2,4,1,2,4,5,1
616,5,4,2,4,4,4,5,4,5,1
617,4,2,2,3,5,5,4,4,2,0
619,1,1,4,5,5,5,1,5,1,1
621,2,2,2,1,1,3,4,4,2,0
622,2,2,5,2,2,2,4,2,2,0
623,5,5,2,5,5,5,5,5,4,1
624,1,1,2,4,4,4,3,4,5,1
625,4,4,2,3,4,3,3,3,5,1
626,5,2,4,4,5,4,3,4,4,0
628,1,5,5,4,5,4,3,4,4,1
631,3,3,4,3,3,3,5,3,4,1
632,3,4,5,1,3,3,3,4,5,0
635,1,2,1,2,4,3,2,2,1,0
637,3,3,3,2,3,2,1,2,2,0
639,4,4,1,4,4,4,3,4,1,1
640,5,5,4,2,2,2,4,2,5,1
641,5,3,2,3,2,4,5,4,2,0
643,5,5,4,5,5,5,5,5,2,1
644,1,4,5,3,3,4,4,5,5,1
645,5,5,5,4,5,4,5,4,5,1
646,4,5,5,4,4,4,4,4,3,1
648,0,2,2,5,3,5,5,5,4,0
649,3,3,1,3,4,3,5,3,4,1
651,4,4,3,5,4,5,5,4,3,0
652,2,4,4,4,2,3,3,3,4,0
653,4,5,1,1,1,3,2,1,2,0
655,3,3,4,5,5,5,5,5,5,1
656,5,5,4,3,2,3,4,3,4,1
657,4,4,1,1,1,4,3,1,4,0
659,3,3,5,2,1,4,4,2,5,1
660,4,1,1,4,4,4,3,5,1,0
661,3,3,3,1,1,2,1,2,3,0
663,0,4,4,3,2,4,4,5,4,0
664,4,4,2,3,1,4,3,4,2,0
666,3,3,2,3,3,3,4,3,5,1
667,4,2,3,5,4,4,3,5,3,0
668,1,1,2,5,5,4,1,5,1,1
669,4,4,2,2,2,2,3,2,1,0
670,0,3,1,4,5,4,3,4,1,0
671,5,5,4,4,4,4,3,4,3,1
673,3,2,3,5,2,5,2,5,4,0
674,2,2,3,4,4,4,3,4,5,1
675,1,1,3,2,2,4,2,4,3,0
676,5,2,5,1,2,5,3,1,5,0
677,2,4,5,3,2,3,4,3,5,0
678,1,1,5,5,2,1,4,1,5,1
680,3,3,3,5,5,5,3,5,4,1
681,2,2,5,3,3,3,3,3,3,0
682,3,3,4,4,4,4,4,4,5,1
684,5,3,2,3,4,5,1,4,2,0
686,3,3,4,5,5,5,3,5,5,1
687,3,3,4,5,5,5,2,4,4,0
688,5,5,1,3,1,4,4,5,1,0
689,2,2,4,4,5,5,5,3,4,1
692,1,1,3,4,5,4,5,4,5,1
693,5,5,3,3,3,4,1,3,3,0
695,5,5,1,2,2,2,2,2,1,1
696,3,3,2,2,2,2,4,2,4,0
697,1,1,3,5,5,5,5,5,5,1
698,3,3,4,4,3,4,3,5,3,1
699,4,2,3,3,5,4,3,5,3,0
700,4,4,3,4,4,4,5,4,4,1
701,4,1,2,5,4,5,2,4,2,0
703,4,4,4,2,3,3,5,4,5,0
704,4,4,2,2,2,2,3,2,4,1
705,5,5,4,2,2,5,3,4,4,1
706,2,3,5,2,5,3,1,4,5,0
708,3,3,2,5,4,5,3,5,4,1
709,5,3,4,5,4,5,3,5,3,1
711,3,3,1,2,2,2,5,2,3,1
712,5,4,4,5,4,5,4,4,4,1
713,3,3,5,3,5,3,1,3,5,0
714,4,4,3,5,5,5,4,5,3,1
715,4,3,4,4,5,5,5,2,4,0
716,4,5,1,4,3,4,3,1,1,0
717,4,3,1,5,4,4,3,5,1,1
718,4,4,2,4,1,3,3,4,2,0
719,3,3,3,1,1,1,2,1,1,0
720,2,2,2,4,3,2,1,2,2,0
721,4,4,5,5,4,5,5,5,5,1
723,4,4,2,5,2,5,3,5,3,0
724,2,2,5,1,1,1,1,1,3,0
727,5,1,3,3,3,5,4,5,3,0
728,5,3,4,4,2,5,4,4,4,0
729,4,5,5,3,2,4,5,5,5,0
730,3,3,3,5,5,5,3,5,4,1
731,4,4,2,1,5,3,4,3,2,0
732,5,1,1,4,3,2,4,2,1,0
733,4,3,2,4,3,4,3,4,4,0
734,1,1,5,4,4,4,3,4,3,1
735,3,3,3,3,3,3,4,3,3,1
736,4,4,5,5,4,5,4,5,5,0
737,1,1,3,2,2,2,4,2,5,1
738,5,5,5,5,4,5,5,5,3,0
739,2,4,2,2,3,3,3,1,3,0
740,5,4,5,4,2,4,5,5,5,1
741,2,2,1,2,1,4,1,3,1,0
743,4,4,5,3,4,3,4,3,4,1
744,2,2,3,4,5,4,4,4,3,1
746,1,1,5,1,4,5,4,3,5,1
747,5,5,3,4,4,4,3,4,2,1
748,1,3,4,4,5,3,3,4,4,0
749,1,2,4,1,5,1,4,1,4,0
750,5,1,5,4,4,4,4,4,5,1
751,1,1,5,4,4,4,3,4,3,1
753,4,4,4,4,4,4,3,4,3,1
754,1,1,2,2,2,2,2,2,2,0
755,5,1,3,3,1,4,5,1,3,0
756,4,4,2,2,2,2,4,2,5,1
758,2,2,5,3,3,3,1,3,1,0
759,1,1,3,5,5,5,5,5,2,1
760,5,2,2,5,3,5,5,5,2,0
761,1,2,2,1,2,1,4,1,4,0
763,0,2,1,3,3,3,3,3,5,1
764,5,3,1,4,5,1,2,2,1,0
